x,y,z
-2.870126,-0.92388,-0.0
-1.463177,-0.980785,-0.0
-1.463177,-0.980785,-0.0
-1.435062,0.980785,-0.285452
-2.814977,0.92388,-0.559934
-4.086712,0.83147,-0.812899
-5.201401,0.707107,-1.034623
-6.116198,0.55557,-1.216589
-6.795957,0.382683,-1.3518
-7.214548,0.19509,-1.435065
-7.355886,0.0,-1.46318
-7.214548,-0.19509,-1.435065
-6.795957,-0.382683,-1.3518
-6.116198,-0.55557,-1.216589
-5.201401,-0.707107,-1.034623
-4.086712,-0.83147,-0.812899
-2.814977,-0.92388,-0.559934
-1.435062,-0.980785,-0.285452
-1.351799,0.980785,-0.559934
-2.651651,0.92388,-1.09835
-3.849598,0.83147,-1.594557
-4.899612,0.707107,-2.029486
-5.761333,0.55557,-2.386423
-6.401651,0.382683,-2.65165
-6.795955,0.19509,-2.814979
-6.929092,0.0,-2.870127
-6.795955,-0.19509,-2.814979
-6.401651,-0.382683,-2.65165
-5.761333,-0.55557,-2.386423
-4.899612,-0.707107,-2.029486
-3.849598,-0.83147,-1.594557
-2.651651,-0.92388,-1.09835
-1.351799,-0.980785,-0.559934
-1.216587,0.980785,-0.812898
-2.386422,0.92388,-1.594557
-3.464546,0.83147,-2.314937
-4.409534,0.707107,-2.946357
-5.185061,0.55557,-3.464549
-5.761334,0.382683,-3.8496
-6.116198,0.19509,-4.086714
-6.236017,0.0,-4.166777
-6.116198,-0.19509,-4.086714
-5.761334,-0.382683,-3.8496
-5.185061,-0.55557,-3.464549
-4.409534,-0.707107,-2.946357
-3.464546,-0.83147,-2.314937
-2.386422,-0.92388,-1.594557
-1.216587,-0.980785,-0.812898
-1.034622,0.980785,-1.034622
-2.029485,0.92388,-2.029485
-2.946354,0.83147,-2.946355
-3.750001,0.707107,-3.75
-4.409532,0.55557,-4.409533
-4.899611,0.382683,-4.899611
-5.201398,0.19509,-5.2014
-5.303296,0.0,-5.303299
-5.201398,-0.19509,-5.2014
-4.899611,-0.382683,-4.899611
-4.409532,-0.55557,-4.409533
-3.750001,-0.707107,-3.75
-2.946354,-0.83147,-2.946355
-2.029485,-0.92388,-2.029485
-1.034622,-0.980785,-1.034622
-0.812897,0.980785,-1.216587
-1.594556,0.92388,-2.386422
-2.314935,0.83147,-3.464547
-2.946357,0.707107,-4.409534
-3.464546,0.55557,-5.185062
-3.8496,0.382683,-5.761333
-4.086712,0.19509,-6.116199
-4.166771,0.0,-6.23602
-4.086712,-0.19509,-6.116199
-3.8496,-0.382683,-5.761333
-3.464546,-0.55557,-5.185062
-2.946357,-0.707107,-4.409534
-2.314935,-0.83147,-3.464547
-1.594556,-0.92388,-2.386422
-0.812897,-0.980785,-1.216587
-0.559933,0.980785,-1.351799
-1.098349,0.92388,-2.65165
-1.594554,0.83147,-3.849598
-2.029485,0.707107,-4.899612
-2.38642,0.55557,-5.761332
-2.65165,0.382683,-6.40165
-2.814975,0.19509,-6.795955
-2.870121,0.0,-6.929092
-2.814975,-0.19509,-6.795955
-2.65165,-0.382683,-6.40165
-2.38642,-0.55557,-5.761332
-2.029485,-0.707107,-4.899612
-1.594554,-0.83147,-3.849598
-1.098349,-0.92388,-2.65165
-0.559933,-0.980785,-1.351799
-0.285452,0.980785,-1.435062
-0.559933,0.92388,-2.814977
-0.812896,0.83147,-4.08671
-1.034622,0.707107,-5.2014
-1.216586,0.55557,-6.116197
-1.351799,0.382683,-6.795955
-1.435061,0.19509,-7.214547
-1.463173,0.0,-7.355884
-1.435061,-0.19509,-7.214547
-1.351799,-0.382683,-6.795955
-1.216586,-0.55557,-6.116197
-1.034622,-0.707107,-5.2014
-0.812896,-0.83147,-4.08671
-0.559933,-0.92388,-2.814977
-0.285452,-0.980785,-1.435062
0.0,0.980785,-1.463176
1e-06,0.92388,-2.870125
1e-06,0.707107,-5.303301
0.0,0.382683,-6.929095
0.0,-0.382683,-6.929095
1e-06,-0.707107,-5.303301
2e-06,-0.83147,-4.166773
1e-06,-0.92388,-2.870125
0.0,-0.980785,-1.463176
