i,j,k,facecolor
133,132,147,"rgb(255,0,0)"
147,148,133,"rgb(255,0,0)"
141,140,155,"rgb(255,0,0)"
155,156,141,"rgb(255,0,0)"
134,133,148,"rgb(255,0,0)"
148,149,134,"rgb(255,0,0)"
142,141,156,"rgb(255,0,0)"
156,157,142,"rgb(255,0,0)"
135,134,149,"rgb(255,0,0)"
149,150,135,"rgb(255,0,0)"
128,82,143,"rgb(255,0,0)"
351,142,157,"rgb(255,0,0)"
136,135,150,"rgb(255,0,0)"
150,151,136,"rgb(255,0,0)"
129,128,143,"rgb(255,0,0)"
143,144,129,"rgb(255,0,0)"
137,136,151,"rgb(255,0,0)"
151,152,137,"rgb(255,0,0)"
130,129,144,"rgb(255,0,0)"
144,145,130,"rgb(255,0,0)"
157,156,171,"rgb(255,0,0)"
171,172,157,"rgb(255,0,0)"
150,149,164,"rgb(255,0,0)"
164,165,150,"rgb(255,0,0)"
143,90,158,"rgb(255,0,0)"
350,157,172,"rgb(255,0,0)"
151,150,165,"rgb(255,0,0)"
165,166,151,"rgb(255,0,0)"
144,143,158,"rgb(255,0,0)"
158,159,144,"rgb(255,0,0)"
152,151,166,"rgb(255,0,0)"
166,167,152,"rgb(255,0,0)"
145,144,159,"rgb(255,0,0)"
159,160,145,"rgb(255,0,0)"
153,152,167,"rgb(255,0,0)"
167,168,153,"rgb(255,0,0)"
146,145,160,"rgb(255,0,0)"
160,161,146,"rgb(255,0,0)"
154,153,168,"rgb(255,0,0)"
168,169,154,"rgb(255,0,0)"
147,146,161,"rgb(255,0,0)"
161,162,147,"rgb(255,0,0)"
155,154,169,"rgb(255,0,0)"
169,170,155,"rgb(255,0,0)"
148,147,162,"rgb(255,0,0)"
162,163,148,"rgb(255,0,0)"
156,155,170,"rgb(255,0,0)"
170,171,156,"rgb(255,0,0)"
149,148,163,"rgb(255,0,0)"
163,164,149,"rgb(255,0,0)"
161,160,175,"rgb(255,0,0)"
175,176,161,"rgb(255,0,0)"
169,168,183,"rgb(255,0,0)"
183,184,169,"rgb(255,0,0)"
162,161,176,"rgb(255,0,0)"
176,177,162,"rgb(255,0,0)"
170,169,184,"rgb(255,0,0)"
184,185,170,"rgb(255,0,0)"
163,162,177,"rgb(255,0,0)"
177,178,163,"rgb(255,0,0)"
171,170,185,"rgb(255,0,0)"
185,186,171,"rgb(255,0,0)"
164,163,178,"rgb(255,0,0)"
178,179,164,"rgb(255,0,0)"
172,171,186,"rgb(255,0,0)"
186,187,172,"rgb(255,0,0)"
165,164,179,"rgb(255,0,0)"
179,180,165,"rgb(255,0,0)"
158,112,173,"rgb(255,0,0)"
349,172,187,"rgb(255,0,0)"
166,165,180,"rgb(255,0,0)"
180,181,166,"rgb(255,0,0)"
159,158,173,"rgb(255,0,0)"
173,174,159,"rgb(255,0,0)"
167,166,181,"rgb(255,0,0)"
181,182,167,"rgb(255,0,0)"
160,159,174,"rgb(255,0,0)"
174,175,160,"rgb(255,0,0)"
168,167,182,"rgb(255,0,0)"
182,183,168,"rgb(255,0,0)"
180,179,194,"rgb(255,0,0)"
194,195,180,"rgb(255,0,0)"
173,81,188,"rgb(255,0,0)"
348,187,202,"rgb(255,0,0)"
181,180,195,"rgb(255,0,0)"
195,196,181,"rgb(255,0,0)"
174,173,188,"rgb(255,0,0)"
188,189,174,"rgb(255,0,0)"
182,181,196,"rgb(255,0,0)"
196,197,182,"rgb(255,0,0)"
175,174,189,"rgb(255,0,0)"
189,190,175,"rgb(255,0,0)"
183,182,197,"rgb(255,0,0)"
197,198,183,"rgb(255,0,0)"
176,175,190,"rgb(255,0,0)"
190,191,176,"rgb(255,0,0)"
184,183,198,"rgb(255,0,0)"
198,199,184,"rgb(255,0,0)"
177,176,191,"rgb(255,0,0)"
191,192,177,"rgb(255,0,0)"
185,184,199,"rgb(255,0,0)"
199,200,185,"rgb(255,0,0)"
178,177,192,"rgb(255,0,0)"
192,193,178,"rgb(255,0,0)"
186,185,200,"rgb(255,0,0)"
200,201,186,"rgb(255,0,0)"
179,178,193,"rgb(255,0,0)"
193,194,179,"rgb(255,0,0)"
187,186,201,"rgb(255,0,0)"
201,202,187,"rgb(255,0,0)"
199,198,213,"rgb(255,0,0)"
213,214,199,"rgb(255,0,0)"
192,191,206,"rgb(255,0,0)"
206,207,192,"rgb(255,0,0)"
200,199,214,"rgb(255,0,0)"
214,215,200,"rgb(255,0,0)"
193,192,207,"rgb(255,0,0)"
207,208,193,"rgb(255,0,0)"
201,200,215,"rgb(255,0,0)"
215,216,201,"rgb(255,0,0)"
194,193,208,"rgb(255,0,0)"
208,209,194,"rgb(255,0,0)"
202,201,216,"rgb(255,0,0)"
216,217,202,"rgb(255,0,0)"
195,194,209,"rgb(255,0,0)"
209,210,195,"rgb(255,0,0)"
188,91,203,"rgb(255,0,0)"
347,202,217,"rgb(255,0,0)"
196,195,210,"rgb(255,0,0)"
210,211,196,"rgb(255,0,0)"
189,188,203,"rgb(255,0,0)"
203,204,189,"rgb(255,0,0)"
197,196,211,"rgb(255,0,0)"
211,212,197,"rgb(255,0,0)"
190,189,204,"rgb(255,0,0)"
204,205,190,"rgb(255,0,0)"
198,197,212,"rgb(255,0,0)"
212,213,198,"rgb(255,0,0)"
191,190,205,"rgb(255,0,0)"
205,206,191,"rgb(255,0,0)"
346,217,232,"rgb(255,0,0)"
211,210,225,"rgb(255,0,0)"
225,226,211,"rgb(255,0,0)"
204,203,218,"rgb(255,0,0)"
218,219,204,"rgb(255,0,0)"
212,211,226,"rgb(255,0,0)"
226,227,212,"rgb(255,0,0)"
205,204,219,"rgb(255,0,0)"
219,220,205,"rgb(255,0,0)"
213,212,227,"rgb(255,0,0)"
227,228,213,"rgb(255,0,0)"
206,205,220,"rgb(255,0,0)"
220,221,206,"rgb(255,0,0)"
214,213,228,"rgb(255,0,0)"
228,229,214,"rgb(255,0,0)"
207,206,221,"rgb(255,0,0)"
221,222,207,"rgb(255,0,0)"
215,214,229,"rgb(255,0,0)"
229,230,215,"rgb(255,0,0)"
208,207,222,"rgb(255,0,0)"
222,223,208,"rgb(255,0,0)"
216,215,230,"rgb(255,0,0)"
230,231,216,"rgb(255,0,0)"
209,208,223,"rgb(255,0,0)"
223,224,209,"rgb(255,0,0)"
217,216,231,"rgb(255,0,0)"
231,232,217,"rgb(255,0,0)"
210,209,224,"rgb(255,0,0)"
224,225,210,"rgb(255,0,0)"
203,110,218,"rgb(255,0,0)"
230,229,244,"rgb(255,0,0)"
244,245,230,"rgb(255,0,0)"
223,222,237,"rgb(255,0,0)"
237,238,223,"rgb(255,0,0)"
231,230,245,"rgb(255,0,0)"
245,246,231,"rgb(255,0,0)"
224,223,238,"rgb(255,0,0)"
238,239,224,"rgb(255,0,0)"
232,231,246,"rgb(255,0,0)"
246,247,232,"rgb(255,0,0)"
225,224,239,"rgb(255,0,0)"
239,240,225,"rgb(255,0,0)"
218,111,233,"rgb(255,0,0)"
345,232,247,"rgb(255,0,0)"
226,225,240,"rgb(255,0,0)"
240,241,226,"rgb(255,0,0)"
219,218,233,"rgb(255,0,0)"
233,234,219,"rgb(255,0,0)"
227,226,241,"rgb(255,0,0)"
241,242,227,"rgb(255,0,0)"
220,219,234,"rgb(255,0,0)"
234,235,220,"rgb(255,0,0)"
228,227,242,"rgb(255,0,0)"
242,243,228,"rgb(255,0,0)"
221,220,235,"rgb(255,0,0)"
235,236,221,"rgb(255,0,0)"
229,228,243,"rgb(255,0,0)"
